,online_order,book_table,rate,votes,location,rest_type,cuisines,cost,menu_item
427,1,0,3.9,77,3,62,1152,400.0,345
428,1,0,3.9,326,0,13,1191,200.0,5004
429,1,0,3.3,212,28,62,234,350.0,1270
430,1,0,4.1,464,0,62,1175,300.0,5004
431,1,0,3.3,628,3,29,920,450.0,4113
432,1,0,3.6,518,28,20,1585,400.0,2823
433,1,0,3.9,70,3,30,765,350.0,586
434,1,0,3.9,62,28,62,322,300.0,1080
435,1,0,4.4,819,30,30,952,400.0,5004
436,1,1,4.2,1964,3,20,86,1000.0,449
437,1,0,4.0,138,3,29,233,650.0,1967
438,1,0,3.3,455,3,20,49,550.0,2386
439,1,0,3.8,181,3,41,1177,600.0,3633
440,1,0,3.6,43,28,62,309,300.0,812
441,1,0,2.7,159,28,62,1461,750.0,4188
442,1,0,3.2,166,3,62,1503,600.0,5004
443,1,0,3.7,128,3,72,280,400.0,2745
444,1,0,2.9,126,0,62,563,300.0,542
445,1,0,4.0,952,30,62,1351,400.0,1965
446,1,0,3.8,472,3,62,321,600.0,1806
447,1,1,4.0,739,3,20,294,800.0,2958
448,1,0,3.9,255,0,20,49,500.0,1095
449,1,0,4.0,1974,28,20,292,800.0,4653
450,1,1,4.2,1428,28,20,63,800.0,1365
451,1,0,4.0,332,28,62,1585,300.0,5004
452,1,1,4.0,199,28,62,1472,700.0,2210
453,1,0,3.9,437,28,62,320,400.0,661
454,1,0,3.8,207,3,20,235,700.0,933
455,1,1,4.4,4381,28,22,1464,600.0,5004
456,1,0,3.8,55,3,62,1585,300.0,5004
457,1,0,4.0,597,3,62,1152,400.0,1549
458,1,0,3.0,102,0,20,1585,600.0,5004
459,1,0,3.9,189,0,62,254,300.0,1176
460,1,0,3.7,131,28,13,502,400.0,5004
461,1,0,4.2,373,28,20,264,750.0,5004
462,1,0,3.9,435,0,20,195,650.0,2984
463,1,0,4.1,292,0,20,248,700.0,5004
464,1,0,3.6,137,3,62,83,300.0,5004
465,1,0,3.2,133,3,20,1205,500.0,5004
466,1,0,3.9,37,28,72,1514,250.0,3844
467,1,0,3.7,170,28,62,860,200.0,5004
468,1,0,3.6,794,3,20,284,550.0,4165
469,1,0,4.6,404,3,20,0,1000.0,5004
470,1,1,3.9,561,3,20,1152,900.0,5004
471,1,1,3.9,486,0,13,708,700.0,5004
472,1,0,3.9,320,3,20,1192,650.0,2484
473,1,0,4.1,237,28,30,789,500.0,2614
474,1,1,3.9,1227,3,20,114,900.0,1162
475,1,0,4.0,95,3,29,1109,600.0,4890
476,1,1,4.1,1538,28,20,163,1000.0,2463
477,1,0,3.7,110,3,20,42,800.0,3491
478,1,0,4.1,381,0,62,83,250.0,4027
479,1,0,3.9,251,3,29,1186,500.0,1018
480,1,0,3.0,353,28,62,1281,400.0,5004
481,1,0,4.0,205,28,29,1177,450.0,2019
482,1,0,3.9,183,0,62,866,250.0,4637
483,1,0,3.9,99,3,30,952,400.0,5004
484,1,0,4.1,260,28,62,1152,300.0,5004
485,1,0,3.9,355,0,62,1192,400.0,5004
486,1,0,4.1,83,0,62,854,400.0,5004
487,1,0,2.5,321,28,62,1237,400.0,3358
488,1,0,3.9,362,0,20,1152,600.0,5004
489,1,1,4.2,2166,28,60,10,1200.0,1749
490,1,0,4.0,182,28,69,1117,400.0,5004
491,1,1,3.8,500,3,20,1433,1000.0,5004
492,1,0,4.0,532,3,20,608,800.0,5004
493,1,1,3.5,551,3,20,1232,600.0,5004
494,1,0,4.2,421,3,20,602,700.0,5004
495,1,0,3.7,662,28,20,199,650.0,5004
496,1,0,3.8,54,3,62,298,500.0,3747
497,1,0,4.1,92,0,62,535,300.0,910
498,1,0,3.7,36,28,29,280,600.0,717
499,1,0,4.2,2350,28,20,1152,800.0,5004
500,1,0,3.9,49,3,13,330,600.0,5004
501,1,0,3.7,184,0,62,856,400.0,5004
502,1,1,3.6,225,3,20,284,700.0,4340
503,1,0,4.0,35,0,32,773,300.0,486
504,1,0,4.0,869,0,29,248,500.0,1272
505,1,0,4.0,153,28,62,1633,200.0,5004
506,1,0,3.7,139,3,62,1264,400.0,5004
507,1,0,3.7,181,3,29,280,500.0,5004
508,1,0,3.9,669,0,20,1152,500.0,4345
509,1,0,3.7,168,3,62,1106,600.0,5004
510,1,0,3.8,170,3,62,1252,250.0,5004
511,1,0,4.0,112,28,62,1645,200.0,5004
512,1,0,3.8,58,0,62,201,300.0,3774
513,1,0,4.0,167,30,62,1585,400.0,5004
514,1,0,3.9,85,28,62,1486,300.0,5004
515,1,0,2.6,473,0,62,998,600.0,890
516,1,0,3.7,217,28,20,1419,500.0,5004
517,1,0,3.6,192,0,29,914,450.0,5004
518,1,1,4.2,611,0,21,139,1500.0,1759
519,1,0,4.0,166,3,29,1461,750.0,1705
520,1,0,4.1,46,28,13,500,600.0,5004
521,1,1,4.4,2233,3,21,742,1200.0,5004
522,1,0,4.0,107,0,62,1152,300.0,5004
523,1,0,4.2,306,0,29,1041,600.0,5004
524,1,1,3.8,756,28,20,1152,1000.0,5004
525,1,1,4.4,4309,28,52,623,1600.0,5004
526,1,0,4.0,212,3,62,1152,400.0,5004
527,1,0,2.9,153,3,62,195,600.0,5004
528,1,0,4.0,827,0,20,1486,500.0,5004
529,1,0,4.0,256,3,62,320,500.0,5004
530,1,0,3.9,40,3,41,440,400.0,5004
531,1,0,3.9,73,3,72,1574,400.0,5004
532,1,0,4.2,169,28,13,359,600.0,5004
533,1,0,4.1,586,28,20,556,700.0,5004
534,1,0,3.5,221,0,70,1115,400.0,5004
535,1,0,3.5,177,0,62,201,500.0,5004
536,1,0,3.9,347,28,20,607,600.0,5004
537,1,0,3.0,347,3,62,1470,800.0,3093
538,1,0,3.9,385,28,62,1472,600.0,5004
